Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Niederlande;Geothermal;0;0;0;0;0;29608.4058;33753.58261;38239.25609;43089.11296;48328.35738;53983.80345;61217.63312;69039.88624;77491.32059;86615.29866;96457.94623;107068.3203;118498.5869;130804.2094;144044.1477;158281.0693
Niederlande;Hydro;275306.2383;312946.3574;320996.1647;343749.2525;366502.3403;389255.4282;414884.371;440513.3137;466142.2565;491771.1993;517400.1421;541278.1967;565156.2514;589034.306;612912.3606;636790.4152;660668.4699;684546.5245;708424.5791;732302.6337;756180.6883
Niederlande;Other RES;0;0;0;0;0;33838.17806;44412.6087;55959.88696;68550.86153;82261.03383;97170.84622;130937.7153;167838.3441;208101.6916;251971.7779;299708.6186;351589.214;407908.5974;468980.946;535140.758;606744.0989
Niederlande;Solar;1778825.382;2022028.005;2285103.827;2569432.16;2876480.568;3207810.236;3589966.247;4002318.333;4446930.713;4925998.534;5441855.811;5977647.75;6553414.243;7171813.266;7835668.656;8547980.052;9311933.416;10130912.17;11008508.96;11948538.15;12955048.98
Niederlande;Wind;31642273.32;33233082.34;35768447.96;38303813.57;40839179.18;43374544.79;46230365.54;49086186.29;51942007.03;54797827.78;57653648.52;60314368.65;62975088.77;65635808.89;68296529.01;70957249.13;73617969.25;76278689.37;78939409.49;81600129.61;84260849.73
Norwegen;Biomass;30824.59567;35038.9624;39597.70432;44524.72302;49845.44934;55586.93648;62209.17418;69354.66832;77059.18893;85360.77493;94299.87157;103584.4085;113561.6494;124277.6533;135781.3536;148124.7297;161362.9901;175554.7646;176052.0402;181986.0244;187920.0085
Norwegen;Geothermal;0;0;0;0;0;37942.46778;43254.41327;49002.69714;55217.67336;61931.64046;69178.96009;78448.94074;88472.97206;99303.28416;110995.445;123608.5638;137205.5058;151853.1206;167622.4831;184589.1491;202833.4255
Norwegen;Hydro;58932011.42;61776676.14;66489644.34;71202612.55;75915580.75;80628548.95;85937208.3;91245867.65;96554527;101863186.4;107171845.7;112117834.3;117063822.8;122009811.4;126955800;131901788.5;136847777.1;141793765.7;146739754.2;151685742.8;156631731.3
Norwegen;Other RES;0;0;0;0;0;43362.82032;56913.70167;71711.2641;87846.29853;105415.5582;124522.1282;167793.5677;215080.8459;266677.3679;322895.8401;384069.4661;450553.215;522725.1652;600987.9273;685770.1528;777528.131
Norwegen;Solar;0;0;0;0;0;1539380.121;1798472.973;2079626.659;2384399.531;2714450.624;3071545.828;3335532.74;3618239.478;3920878.058;4244734.898;4591175.226;4961647.75;5357689.589;5780931.492;6233103.361;6716040.088
